Sr. No.,UPI Remitter Banks (Sep-2023),Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2930.95,92.62%,4.45%,2.93%,29.12,89%
2,HDFC BANK LTD,1005.24,96.26%,3.55%,0.20%,3.23,96%
3,Bank of Baroda,746.16,93.72%,5.11%,1.17%,4.89,86%
4,Union Bank of India,717.97,94.43%,4.16%,1.41%,4.54,58%
5,Punjab National Bank,576.75,94.44%,4.82%,0.74%,2.63,95%
6,ICICI Bank,542.07,95.69%,3.65%,0.66%,2.06,85%
7,Axis Bank Ltd,533.42,96.43%,3.55%,0.01%,1.28,99%
8,Kotak Mahindra Bank,553.74,94.24%,4.94%,0.81%,2.15,73%
9,Canara Bank,530.06,94.48%,5.09%,0.43%,2.34,85%
10,Paytm Payments Bank,441.45,96.35%,3.65%,0.00%,0.69,99%
11,Bank of India,373.98,95.79%,3.91%,0.29%,1.45,80%
12,Indian Bank,321.72,94.93%,4.91%,0.16%,1.11,91%
13,Airtel Payments Bank,285.5,91.12%,8.63%,0.25%,0.97,0%
14,India Post Payment Bank,218.45,86.20%,12.46%,1.34%,0.81,81%
15,Federal Bank,175.29,95.30%,4.55%,0.15%,0.43,99%
16,Central Bank Of India,172.01,88.14%,9.57%,2.29%,2.23,83%
17,Indian Overseas Bank,151.31,94.84%,4.48%,0.67%,0.69,89%
18,UCO Bank,143.86,94.08%,5.17%,0.75%,0.92,54%
19,IDBI Bank Limited,136.12,94.64%,3.77%,1.59%,0.94,87%
20,Bank of Maharashtra,126.73,94.62%,4.90%,0.48%,0.42,86%
21,INDUSIND BANK,116.32,92.20%,5.73%,2.06%,0.47,85%
22,Fino Payments Bank Limited FIP,105.67,85.45%,11.77%,2.78%,0.41,80%
23,Yes Bank Ltd,94.16,95.49%,4.39%,0.12%,0.2,89%
24,Karnataka Bank,90.33,93.61%,5.57%,0.82%,0.27,79%
25,Karur Vysya Bank,56.39,93.67%,5.71%,0.62%,0.26,93%
26,Bandhan Bank,39.99,89.22%,9.71%,1.07%,0.54,36%
27,South Indian Bank,45.73,96.08%,3.84%,0.08%,0.11,80%
28,IDFC FIRST Bank,71.76,94.27%,5.54%,0.19%,0.29,68%
29,Jammu and Kashmir Bank,41.53,91.11%,6.00%,2.89%,0.3,5%
30,City Union Bank,33.89,93.79%,5.98%,0.22%,0.1,99%
31,Ujjivan Small Finance Bank,34.85,92.15%,5.57%,2.28%,0.18,64%
32,AU small Finance Bank,33.85,95.45%,4.24%,0.31%,0.16,98%
33,Tamilnad Mercantile Bank,29.57,93.69%,5.18%,1.12%,0.12,62%
34,Equitas Small Finance Bank,27.66,92.15%,7.82%,0.03%,0.09,98%
35,Standard Chartered,30,97.09%,2.50%,0.41%,0.07,79%
36,Punjab and Sind Bank,27.65,91.68%,6.34%,1.99%,0.34,37%
37,DBS Bank India Limited,24.94,95.54%,3.91%,0.55%,0.06,84%
38,Andhra Pradesh Grameena Vikas Bank,23.22,88.00%,11.27%,0.74%,0.09,76%
39,Pragathi Krishna Gramin Bank,21.54,91.33%,6.68%,1.99%,0.17,59%
40,Citibank,19.79,95.28%,3.00%,1.72%,0.06,96%
41,Maharashtra Gramin Bank,20.84,86.25%,11.68%,2.07%,0.09,64%
42,Kerala Gramin Bank,22.94,89.93%,7.97%,2.10%,0.18,57%
43,Saraswat Bank,20.94,96.38%,3.40%,0.22%,0.06,92%
44,Tri O Tech Solutions Private Limited,27.54,100.00%,0.00%,0.00%,0,NA
45,Rajasthan Marudhara Gramin Bank,17.72,87.47%,11.85%,0.68%,0.07,82%
46,ESAF Small Finance Bank Ltd.,18.06,94.04%,5.47%,0.49%,0.05,98%
47,Baroda UP Gramin Bank,17.16,80.46%,10.92%,8.62%,0.47,22%
48,Sarva Haryana Gramin Bank,14.65,90.62%,6.76%,2.62%,0.16,35%
49,RBL Bank,14.89,87.52%,7.32%,5.15%,0.16,61%
50,Andhra Pragathi Grameena Bank,12.89,86.03%,12.97%,1.00%,0.05,77%
